"word_id","term","translation","from_lang","to_lang","current_category_names","current_level","issue_type","proposed_term","proposed_translation","decision","notes"
"0c165b4c-2afb-4861-ac60-75bf59a8611b","""move""\n https://www.bbc.com/news/articles/c93xn2xg6r4o#:~:text=and%20the%20wind-,move,-like%20that%2C%22%20he","""umziehen""\n https://www.bbc.com/news/articles/c93xn2xg6r4o#:~:text=and%20the%20wind-,move,-like%20that%2C%22%20he","EN","DE","","","term_contains_https; term_contains_www; term_contains_text_fragment; term_contains_text_quote_fragment; term_longer_than_80; term_url_like; translation_contains_https; translation_contains_www; translation_contains_text_fragment; translation_contains_text_quote_fragment; translation_longer_than_80; translation_url_like","move","umziehen","",""
"2a7e4ef2-4585-4b25-9c63-d81bc694cce5","""superstar""\n https://www.bbc.com/news/articles/c93xn2xg6r4o#:~:text=Jamaican%20music-,superstar,-Sean%20Paul%20has","""Superstar""\n https://www.bbc.com/news/articles/c93xn2xg6r4o#:~:text=Jamaican%20music-,superstar,-Sean%20Paul%20has","EN","DE","","","term_contains_https; term_contains_www; term_contains_text_fragment; term_contains_text_quote_fragment; term_longer_than_80; term_url_like; translation_contains_https; translation_contains_www; translation_contains_text_fragment; translation_contains_text_quote_fragment; translation_longer_than_80; translation_url_like","superstar","Superstar","",""
"6a6e9ac6-ddc4-4ee0-a6a6-51d8ad8edf3f","""throughout""\n https://www.bbc.com/news/live/cd9kdl54x9lt#:~:text=post%20our%20work-,throughout,-the%20day","""durchgehend""\n https://www.bbc.com/news/live/cd9kdl54x9lt#:~:text=post%20our%20work-,throughout,-the%20day","EN","DE","","","term_contains_https; term_contains_www; term_contains_text_fragment; term_contains_text_quote_fragment; term_longer_than_80; term_url_like; translation_contains_https; translation_contains_www; translation_contains_text_fragment; translation_contains_text_quote_fragment; translation_longer_than_80; translation_url_like","throughout","durchgehend","",""
"d032e036-261a-400a-8e69-ae677987c97c","cleave (split) – cleft/clove/cleaved – cleft/cloven/cleaved","spalten (spalten) - gespalten/gespalten/gespalten - gespalten/gespalten/gespalten","en","de","Irregular Verbs","B2","translation_longer_than_80","","","",""
"4fd74a05-a38a-40f4-9707-03c70904f654","Do you mind if I approve the request, when you have a moment?","Haben Sie etwas dagegen, wenn ich die Anfrage genehmige, wenn Sie einen Moment Zeit haben?","en","de","Phrases & Idioms","A2","translation_longer_than_80","","","",""
"c33ae598-da01-480a-80f5-04e1394009e2","Do you mind if I confirm the booking, when you have a moment?","Haben Sie etwas dagegen, wenn ich die Buchung bestätige, wenn Sie einen Moment Zeit haben?","en","de","Phrases & Idioms","C1","translation_longer_than_80","","","",""
"1c9bd500-ac22-48bf-841e-b8c49e5c045f","Do you mind if I move the meeting, asap?","Macht es Ihnen etwas aus, wenn ich das Treffen so schnell wie möglich verschiebe?","en","de","Phrases & Idioms","A2","translation_longer_than_80","","","",""
"f0fc7093-e649-433b-8743-fa964fec1fa5","Do you mind if I move the meeting, when you have a moment?","Haben Sie etwas dagegen, wenn ich die Sitzung verschiebe, wenn Sie einen Moment Zeit haben?","en","de","Phrases & Idioms","C2","translation_longer_than_80","","","",""
"0e3d7060-6c97-4c42-bacc-3245f01621bd","Do you mind if I slow things down, when you have a moment?","Haben Sie etwas dagegen, wenn ich das Tempo drossle, wenn Sie einen Moment Zeit haben?","en","de","Phrases & Idioms","B1","translation_longer_than_80","","","",""
"bd57695a-5198-4711-9d96-12b2473a53c6","Do you mind if I speed things up, when you have a moment?","Haben Sie etwas dagegen, wenn ich die Dinge beschleunige, wenn Sie einen Moment Zeit haben?","en","de","Phrases & Idioms","A1","translation_longer_than_80","","","",""
"d73b7180-c201-49af-94b4-cd98fa3e7a2c","misspell – misspelled/misspelt – misspelled/misspelt","falsch geschrieben - falsch geschrieben/falsch geschrieben - falsch geschrieben/falsch geschrieben","en","de","Irregular Verbs","B2","translation_longer_than_80","","","",""
