"word_id","term","translation","from_lang","to_lang","current_category_names","current_level","proposed_package","proposed_level","notes"
"e04647a3-1da4-4aaa-aba0-3d50263a6dc0"," plagiarism checker"," plagiatskontrolleur","en","de","School & Studies","A1","","A1",""
"d053a3f3-3d2a-41be-a46c-ca56ec42f9a4","3‑D Secure","3‑D Secure","en","de","Money & Shopping","B2","","B2",""
"de48ff3b-b7a5-49d2-b893-57457b4cc8e7","3D printed clothing","3D-gedruckte Kleidung","en","de","Style & Fashion","A1","","A1",""
"12419da5-a38a-4564-82ac-6911bed09707","3D printing","3D-Druck","en","de","Tech & Innovation","A2","","A2",""
"7592532d-d9c4-4bee-81d3-5e3e4c635b65","5G connection","5G Verbindung","en","de","Tech & Innovation","A1","","A1",""
"72d380f8-7264-4164-981a-71c7204300f7","a","a","en","de","Top 500 Words","A2","Top 500 Words","A2",""
"6f606252-ea89-45a7-87fe-32f744a115af","a blessing in disguise","ein Segen im Verborgenen","en","de","Phrases & Idioms","C2","Phrases & Idioms","C2",""
"21f0c0b8-fef8-4dbd-9928-cdc86cb7cbc6","a dark horse","ein unbeschriebenes Blatt","en","de","Animals","C1","","C1",""
"bdd1e415-8639-48fa-8e72-e94ac097cdbd","a fish out of water","wie ein Fisch auf dem Trockenen","en","de","Animals","C1","","C1",""
"caa75809-c0cb-4981-a1ea-a60f1030fead","a piece of cake","kinderleicht","en","de","Food & Cooking","C2","","C2",""
"8d9f8e09-cb06-4cb1-a5e5-1773b00ac1c0","a roof over one’s head","ein Dach über dem Kopf","en","de","Home & Living","C1","","C1",""
"06b48812-ee78-4382-9ece-aae1a1869dfb","a stitch in time saves nine","ein Stich zur rechten Zeit rettet neun","en","de","Phrases & Idioms","A1","Phrases & Idioms","A1",""
"a29ec21f-88cc-4eba-bd12-a1304171f8df","a wolf in sheep's clothing","ein Wolf im Schafspelz","en","de","Animals","C1","","C1",""
"91c861f7-6c1b-4542-88f7-b62d664b2b9e","A/B test","A/B-Test","en","de","Media & News","B2","","B2",""
"781d8145-7493-4714-99e5-862aaf081d93","abandon","aufgeben","en","de","B2","B2","","B2",""
"8deb1c50-23df-4689-bce5-297920656ff7","ability","fähigkeit","en","de","A2","A2","","A2",""
"4a338581-4090-478c-97d9-31e046ca92e4","able","fähig","en","de","A2","A2","","A2",""
"b5601c77-d701-414c-b432-79d259decca6","abolish","abschaffen","en","de","C1","C1","","C1",""
"2fe52404-3319-4a8b-b724-4a660b225568","abortion","abtreibung","en","de","C1","C1","","C1",""
"533c33ba-fe78-44a7-a195-9ecdc2162e52","about","über","en","de","A1; Top 500 Words","A1","Top 500 Words","A1",""
"d861a970-1c9d-416c-8770-93cd2ca563be","above","über","en","de","A1","A1","","A1",""
"4688084e-c215-4f23-9127-e7a2fdd66a61","abroad","im Ausland","en","de","B2","B2","","B2",""
"1bfc1462-e340-40cb-a5dc-1af89ad78352","abrupt","abrupt","en","de","C2","C2","","C2",""
"79228f78-960f-4863-8ba8-a584a5af8e89","abruptly","abrupt","en","de","C2","C2","","C2",""
"5f8504df-595f-4b05-853e-4c6ba36f0bc7","absence","abwesenheit","en","de","C1","C1","","C1",""
"61bac0ef-373e-46a0-9807-2af08b0bb562","absent","abwesend","en","de","C1","C1","","C1",""
"28988cfb-ee73-42f1-8ed3-e1d594160d3b","absolute","absolut","en","de","B2","B2","","B2",""
"eac9f278-2161-47c8-8ded-fe352704834e","absolutely","absolut","en","de","B1","B1","","B1",""
"ce323487-4f52-4bb1-94c3-f0d74cbf66da","absorb","absorbieren","en","de","B2","B2","","B2",""
"a930a245-301c-4dc8-b58b-b44518719196","abstract","abstrakt","en","de","B2","B2","","B2",""
"053a30de-7ece-408a-abf0-037bd0438f1d","abstract art","abstrakte Kunst","en","de","Art & Literature","A1","","A1",""
"0fdfbcf0-3347-41c7-9eaa-8a9f12f04e75","abstract composition","abstrakte Komposition","en","de","Art & Literature","C1","","C1",""
"53afdac1-b308-484e-97b5-4ef2ded6e573","abstract motif","abstraktes Motiv","en","de","Art & Literature","B1","","B1",""
"b62ea99f-d499-4c9a-a149-a7d5979e74ec","abstract narrative","abstrakte Erzählung","en","de","Art & Literature","A2","","A2",""
"237eef36-4fee-4f2b-91c9-9a878f5ccb1f","abstract palette","abstrakte Palette","en","de","Art & Literature","B2","","B2",""
"b86a5c8a-ed15-4cf9-862f-0015247acaff","abstract structure","abstrakte Struktur","en","de","Art & Literature","B2","","B2",""
"30b4de0a-0acb-441a-809c-49b7e97bb3d4","abstract style","abstrakter Stil","en","de","Art & Literature","A2","","A2",""
"87c6576d-7b45-4d88-891d-0f8dba5e04a4","abstract symbol","abstraktes Symbol","en","de","Art & Literature","A2","","A2",""
