word_key,base_term,de_translation,level,category,word_world,mvp_reason,risk_type,review_decision,review_note,reviewer,reviewed_at
c1015783-60e2-4059-b052-e60e5b855c40,airport,Flughafen,A1,A1; Top 500 Words; Travel,Travel,mvp_start_word_world:Travel,structure_issue,approved_for_mvp,,Andreas,2026-05-31
450e2469-1a1f-45f1-bb13-c1ede8f0c262,bag,Tasche,A1,A1; Top 500 Words; Travel,Travel,mvp_start_word_world:Travel,structure_issue,approved_for_mvp,,Andreas,2026-05-31
3035e121-b85a-4a70-940d-20cef841f116,book the boarding pass,buchen Sie die Bordkarte,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,fix_translation_later,"Uebersetzung wirkt wie Imperativ; spaeter neutral als ""Bordkarte buchen"" oder aehnlich pruefen.",Andreas,2026-05-31
1034f55a-120c-4baf-8eaa-668683196504,book travel insurance,reiseversicherung buchen,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,fix_translation_later,"Grossschreibung/Form pruefen: ""Reiseversicherung buchen"".",Andreas,2026-05-31
d2d9bc2e-dd94-4385-ba28-a6023f5a5945,bus,Bus,A1,A1; Top 500 Words; Travel,Travel,mvp_start_word_world:Travel,same_base_and_translation,approved_for_mvp,,Andreas,2026-05-31
82eb38dc-4e1c-4f76-bbcb-aeee3fdce576,Can you help me find the gate?,"Können Sie mir helfen, das Tor zu finden?",A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,fix_translation_later,"Airport-Kontext: ""gate"" besser als ""Gate"" oder ""Flugsteig"" statt ""Tor"" pruefen.",Andreas,2026-05-31
bb020815-2d8c-45a7-b023-1bb128574e9a,cancel the boarding pass,die Bordkarte stornieren,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,approved_for_mvp,,Andreas,2026-05-31
b3f4aa62-1cd1-4a44-89a0-88390a4453cb,change a seat,einen Sitzplatz wechseln,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,approved_for_mvp,,Andreas,2026-05-31
a6ea1432-9a7b-422f-b9a6-daabad4269e6,check a seat,einen Sitzplatz überprüfen,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,needs_context,"""check a seat"" ist ohne Kontext unklar; moeglich Sitzplatz pruefen/auswaehlen.",Andreas,2026-05-31
1e8cec39-b84e-451c-a432-9ec21b16bdfa,check the itinerary,prüfen Sie die Reiseroute,A1,Travel,Travel,mvp_start_word_world:Travel,standard_review,fix_translation_later,"Imperativform vermeiden; neutral als ""Reiseroute pruefen"" pruefen.",Andreas,2026-05-31
